City,Org_Name,Online_Web,Online_FB,Online_Twitter,Share_Land,Share_Plants,Share_Seeds,Share_Compost,Share_Kitchen,Share_Food,Share_Meals,Share_Knowledge,Share_Skills,How_Selling,How_Bartering,How_Gifting,How_Collecting,Type_ForProfit,Type_SocialEnterprise,Type_NonProfit,Type_Cooperative,Type_Association,Type_Informal
Adelaide,Adelaide Central Market Community Kitchen,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Adelaide,Adelaide Hills Produce Swap,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Adelaide,Adelaide Kitchen Gardeners,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Adelaide,Adelaide Local Exchange Trading System,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Adelaide,Australian City Farms and Community Gardens Network,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Adelaide,Blackwood Urban Orchard,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Adelaide,Brompton Bowden Food Swap,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Adelaide,Community Fruit and Veg Swap West Croyden,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Adelaide,Community Kitchens,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Adelaide,Cookd,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Adelaide,Edible Cities,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Adelaide,Edible Garden on Campus,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Adelaide,Essential Edibles Urban Orchard,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Adelaide,Fair Food Adelaide,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
Adelaide,Flinders Uni Food Coop,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
Adelaide,Food Forest,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Adelaide,Food Not Bombs,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Adelaide,Foodbank South Australia,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
Adelaide,Foraging Adelaide South Australia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Adelaide,Freecycle,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Adelaide,Guerilla Gardening,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adelaide,Hills and Plains Seed Savers,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Adelaide,Hills Harvest Exchange,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
Adelaide,Hutt Street Centre,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Adelaide,Inner North Food Alliance,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
Adelaide,Jamestown Community Garden,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
Adelaide,Joe's Connected Garden,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0
Adelaide,Joinery,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
Adelaide,Meal Sharing,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Adelaide,Meals on Wheels,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Adelaide,Milang Community Garden,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
Adelaide,Neighbour Flavour,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Adelaide,Organic Corner Store Coop,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
Adelaide,OzHarvest,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
Adelaide,Playford Food and Garden Swap and Share,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Adelaide,Port Adelaide Cottage Kitchen 'Food With Friends',1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Adelaide,Port Lincoln Food Swappers,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Adelaide,Ripe Near Me,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
Adelaide,Saint Vincent De Paul,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Adelaide,Secateurs Community Garden,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Adelaide,SecondBite,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
Adelaide,Social Menu,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Adelaide,South Australian Seed Savers,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0
Adelaide,Southern Adelaide Organic and Ethical Food coop,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
Adelaide,St Bede’s Community Garden,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Adelaide,Stephanie Alexander Kitchen Garden program,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
Adelaide,Street Smart,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Adelaide,Suspended Coffees,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Adelaide,Test Kitchen Sa,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Adelaide,Transition Adelaide West Henley Community Garden and Food Swap and Permablitz,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Adelaide,Transition Gawler Garden and Produce Share,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
Adelaide,Trashwiki,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Adelaide,Urban Orchard Clarence Park,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Adelaide,VizEat,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Adelaide,Wagtail Urban Farm,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Adelaide,Waite Community Garden,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
Adelaide,Wandana Community Garden,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0
Adelaide,Welcome Dinner Project,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Adelaide,Westside Fruit and Veg Swap,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Adelaide,Wild Food,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Adelaide,Zambrero Restaurant,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Amsterdam,Acta Tuin,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
Amsterdam,Airdnd,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Amsterdam,Amsterdam Dining in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amsterdam,Bankjes Collectief,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
Amsterdam,BonAppetour,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Amsterdam,Bookalokal,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Amsterdam,Bubba,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Amsterdam,Bubbleclub,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
Amsterdam,City Plot,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
Amsterdam,De Groene Vinger,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
Amsterdam,EetClub,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
Amsterdam,Feastly,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Amsterdam,Food Coop Nord,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
Amsterdam,Food Not Bombs,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
